ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,active_merchant,y,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2025-03-07,21.380343439825545,5.643960750828864,36.46454223092434,30.305494561297312,2.758721072342582,-13.675977354964283,3.6252044205065284,-1.2611444070554372,-0.3719548523011579,Booking,12129.0,15.0,2025-06-25 15:57:32.331549,False,30.820581480095473,-6.380343439825545,6.380343439825545,-42.5356229321703
2025-03-08,18.767937897166153,3.3303067706885052,33.9142721637627,30.34582118244283,0.8583693522104369,-12.493948336867465,4.014880983224389,-2.4553168440026694,-1.501868439841368,Booking,12128.0,26.0,2025-06-25 15:57:32.331549,False,30.583965393074198,7.232062102833847,7.232062102833847,27.815623472437874
2025-03-09,13.211806959464106,0.0,27.864345730051614,30.386147803588358,-4.37965028338534,-11.197756168302835,5.7344893715221215,-4.687054747043306,-2.644369016914893,Booking,12135.0,14.0,2025-06-25 15:57:32.331549,False,27.864345730051614,0.7881930405358943,0.7881930405358943,5.629950289542102
2025-03-10,6.1350937877504705,0.0,20.94253771488426,30.426474424733875,-11.175427525417403,-9.80215072515713,7.974205868598952,-7.502443416355084,-3.7855648386527374,Booking,12133.0,3.0,2025-06-25 15:57:32.331549,False,20.94253771488426,-3.1350937877504705,3.1350937877504705,-104.50312625834901
2025-03-11,23.200423104161086,8.738339132179396,38.35195248645034,30.4668010458794,5.919369659395526,-8.323762370419567,10.339903600194381,-10.290587034521195,-4.911301796367463,Booking,12112.0,10.0,2025-06-25 15:57:32.331549,False,29.61361335427094,-13.200423104161086,13.200423104161086,-132.00423104161086
2025-03-12,21.793756145970537,7.409515667959899,37.43160486608012,30.50712766702492,3.9341601247884963,-6.7808954177387974,12.535757739324914,-12.395023123198031,-6.007370844230962,Booking,12116.0,15.0,2025-06-25 15:57:32.331549,False,30.022089198120224,-6.793756145970537,6.793756145970537,-45.29170763980358
2025-03-13,20.169634707245816,4.912514600321682,34.29769417467542,30.54745428817044,2.0844576000091237,-5.193282439106144,13.025515703115811,-13.234790758781303,-7.059719686162108,Booking,12098.0,12.0,2025-06-25 15:57:32.331549,False,29.38517957435374,-8.169634707245816,8.169634707245816,-68.08028922704847
2025-03-14,20.405822761070976,5.568153962766188,34.548077307194276,30.587780909315967,2.7587210723504896,-3.5818025346451874,11.110102767156784,-12.414314216140232,-8.054665236966843,Booking,12073.0,22.0,2025-06-25 15:57:32.331549,False,28.979923344428087,1.5941772389290243,1.5941772389290243,7.24626017695011
2025-03-15,19.578951404471905,4.851088087941314,34.34987800129378,30.628107530461484,0.8583693522257856,-1.9681676143219737,8.842839964692839,-9.80309450930527,-8.97910331928096,Booking,12049.0,14.0,2025-06-25 15:57:32.331549,False,29.498789913352468,-5.578951404471905,5.578951404471905,-39.849652889085036
2025-03-16,17.80128755216083,3.312815673057658,32.35353741350153,30.668434151607002,-4.379650283376845,-0.3745816243136813,7.279047740585922,-5.5712503650526335,-9.820712067288934,Booking,12037.0,5.0,2025-06-25 15:57:32.331549,False,29.04072174044387,-12.80128755216083,12.80128755216083,-256.0257510432166
