ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,y,new_merchant,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-01,184765.6112865437,184195.84658093232,185257.0968267158,182042.60563200002,-169.03815508998755,42590.96292905176,-877.1881791427411,-29859.615343083206,-8962.11559719216,Retail,184969.0,76.0,2025-06-26 09:06:45.900198,False,1061.250245783478,203.38871345631196,203.38871345631196,0.10995827055145023
2024-01-02,185056.24428430278,184533.0931833911,185616.47284710643,182133.41323323987,-103.59239753056244,45987.91669811454,-894.3498631715837,-34453.98269964361,-7613.160686705872,Retail,185177.0,177.0,2025-06-26 09:06:45.900198,False,1083.3796637153428,120.75571569721797,120.75571569721797,0.06521096880131873
2024-01-03,185403.7959044619,184873.195409786,185941.365457532,182224.2208344797,86.28512728390825,49203.308333687375,-932.7715254219964,-38900.98767957197,-6276.259185995106,Retail,185371.0,200.0,2025-06-26 09:06:45.900198,False,1068.1700477459817,-32.79590446190559,32.79590446190559,-0.017692036220285586
2024-01-04,185526.8304237723,184986.76279014038,186048.69569637667,182315.02843571955,73.01513640967136,52199.67283369843,-955.418119311815,-43142.372439324885,-4963.095423418634,Retail,185514.0,187.0,2025-06-26 09:06:45.900198,False,1061.9329062362958,-12.830423772305949,12.830423772305949,-0.006916148523726484
2024-01-05,185628.1818345109,185095.2259552926,186221.5826786106,182405.8360369594,47.74196913900083,54940.98241893984,-956.8785050901123,-47124.81934084715,-3684.6807445900854,Retail,185595.0,182.0,2025-06-26 09:06:45.900198,False,1126.3567233179929,-33.1818345109059,33.1818345109059,-0.017878625238236967
2024-01-06,185733.47237278285,185190.49405926777,186267.64674101712,182496.64363819925,60.53615502164594,57393.48804888852,-963.6242891320508,-50802.10392789049,-2451.4672523040194,Retail,185700.0,148.0,2025-06-26 09:06:45.900198,False,1077.1526817493432,-33.4723727828532,33.4723727828532,-0.018024971880911792
2024-01-07,185751.48014640022,185237.506379827,186265.80562237024,182587.45123943913,5.052164765573335,59526.51497555752,-958.0102788030199,-54136.07035598837,-1273.4575985705999,Retail,185719.0,108.0,2025-06-26 09:06:45.900198,False,1028.2992425432312,-32.48014640022302,32.48014640022302,-0.017488865651991998
2024-01-08,185669.22585162282,185098.67689446374,186196.03607451622,182678.258840679,-169.03815508969296,61313.19394528643,-896.5035784700277,-57096.380573775125,-160.30462700778205,Retail,185774.0,93.0,2025-06-26 09:06:45.900198,False,1097.3591800524737,104.77414837718243,104.77414837718243,0.056398714770195195
2024-01-09,185835.20833516266,185298.05901966445,186384.56556039682,182769.06644191884,-103.59239753044808,62731.1111025473,-780.7739676550218,-59659.20771369767,878.6048695796693,Retail,185877.0,203.0,2025-06-26 09:06:45.900198,False,1086.506540732371,41.7916648373357,41.7916648373357,0.022483505133682868
2024-01-10,186104.32560776317,185582.00405365357,186621.83632881154,182859.8740431587,86.28512728409076,63762.861454093785,-633.5523827083781,-61805.23002551501,1834.0873914499955,Retail,186104.0,196.0,2025-06-26 09:06:45.900198,False,1039.832275157969,-0.3256077631667722,0.3256077631667722,-0.00017496011002814137
2024-01-11,186155.51941473037,185630.2186177532,186690.82871967048,182950.68164439854,73.01513640965732,64396.49287961993,-444.39343259947407,-63517.4021441092,2697.1253310109196,Retail,186070.0,169.0,2025-06-26 09:06:45.900198,False,1060.6101019172638,-85.51941473037004,85.51941473037004,-0.045960882856113314
2024-01-12,186192.44552350673,185652.66859211613,186701.97317163093,183041.4892456384,47.74196913899754,64625.83008072273,-202.4593834558987,-64779.01479738733,3458.8584088498396,Retail,186070.0,230.0,2025-06-26 09:06:45.900198,False,1049.3045795148064,-122.44552350672893,122.44552350672893,-0.0658061608570586
2024-01-13,186253.52547117663,185697.55597543393,186760.38335073594,183132.29684687825,60.536155021591554,64450.67049379844,71.91195461798809,-65572.49643052072,4110.606451381089,Retail,186104.0,212.0,2025-06-26 09:06:45.900198,False,1062.827375302004,-149.52547117663198,149.52547117663198,-0.08034511411717749
2024-01-14,186242.3328695009,185702.803038578,186775.38505617573,183223.10444811807,5.052164765499887,63876.8470000543,372.67502968766,-65879.27073849633,4643.924965371662,Retail,186111.0,172.0,2025-06-26 09:06:45.900198,False,1072.5820175977424,-131.33286950091133,131.33286950091133,-0.07056695708524018
2024-01-15,186142.41208853855,185619.8941326222,186642.0741036092,183313.91204935792,-169.0381550897337,62916.15518898075,711.4761336554743,-65680.7869941157,5050.693865749835,Retail,185978.0,108.0,2025-06-26 09:06:45.900198,False,1022.1799709869956,-164.41208853854914,164.41208853854914,-0.08840405238175975
2024-01-16,186296.4564913259,185754.93903620396,186839.18676431122,183404.93155976164,-103.5923975303337,61586.14590943822,1046.35237772043,-64960.6195491439,5323.238591079834,Retail,186114.0,208.0,2025-06-26 09:06:45.900198,False,1084.2477281072643,-182.4564913258946,182.4564913258946,-0.09803480196325619
2024-01-17,186534.9386933412,186004.2778685136,187092.74659365375,183495.95107016538,86.28512728411214,59909.78681390581,1295.761268312072,-63707.32730959427,5454.481723268073,Retail,186328.0,258.0,2025-06-26 09:06:45.900198,False,1088.4687251401483,-206.9386933411879,206.9386933411879,-0.1110615116038319
2024-01-18,186535.38015407,185983.11767214988,187068.76488024966,183586.9705805691,73.01513640959196,57914.99950403449,1439.8820224927524,-61917.609230658156,5438.122141222246,Retail,186410.0,292.0,2025-06-26 09:06:45.900198,False,1085.6472080997773,-125.38015407000785,125.38015407000785,-0.06726042276165863
2024-01-19,186541.55753125614,186002.12973891577,187070.89105031182,183677.9900909728,47.74196913899425,55634.08166006432,1512.1213337328788,-59599.215231318645,5268.837708665777,Retail,186470.0,304.0,2025-06-26 09:06:45.900198,False,1068.7613113960542,-71.55753125614137,71.55753125614137,-0.03837482236077727
2024-01-20,186599.60831374754,186049.05648554023,187141.65975043905,183769.0096013765,60.53615502161193,53103.02612388783,1497.617272482597,-56773.08738862904,4942.506549608024,Retail,186565.0,136.0,2025-06-26 09:06:45.900198,False,1092.6032648988185,-34.60831374753616,34.60831374753616,-0.018550271351827064
2024-01-21,186564.01630328802,186004.84909155458,187116.75410292958,183860.02911178023,5.052164765294885,50360.751253028124,1356.0547577427353,-53474.31210921644,4456.441125188096,Retail,186493.0,83.0,2025-06-26 09:06:45.900198,False,1111.9050113749981,-71.01630328802275,71.01630328802275,-0.03807987607471742
2024-01-22,186416.7051695722,185845.5103397189,186960.77436618722,183951.04862218397,-169.0381550897744,47448.25891847299,1128.4501582774067,-49751.64298768398,3809.628613411613,Retail,186500.0,67.0,2025-06-26 09:06:45.900198,False,1115.2640264683287,83.29483042779611,83.29483042779611,0.0446621074679872
2024-01-23,186578.44320092667,186060.754212196,187115.47607551262,184042.06813258768,-103.59239753012544,44407.738243568834,894.8351480920297,-45665.576453802336,3002.9705280105777,Retail,186699.0,215.0,2025-06-26 09:06:45.900198,False,1054.7218633166049,120.55679907332524,120.55679907332524,0.06457281456961485
2024-01-24,186903.2754281571,186350.81182670567,187419.65144936618,184133.0876429914,86.28512728375365,41281.634532005926,647.9447503400339,-41285.190736004755,2039.5141115407453,Retail,187150.0,139.0,2025-06-26 09:06:45.900198,False,1068.839622660511,246.72457184290397,246.72457184290397,0.1318325256975175
2024-01-25,186983.74641912087,186424.95023391396,187471.30661562728,184224.1071533951,73.01513640957792,38111.70378455752,334.40710188843195,-36684.15456717806,924.6678100482893,Retail,187237.0,182.0,2025-06-26 09:06:45.900198,False,1046.3563817133254,253.253580879129,253.253580879129,0.13525829877595186
2024-01-26,187018.74317705384,186453.6677012174,187550.3666062027,184315.12666379884,47.74196913900282,34938.073733076584,-12.150069138796832,-31936.44221448757,-333.6069053342338,Retail,187301.0,165.0,2025-06-26 09:06:45.900198,False,1096.6989049853,282.25682294616126,282.25682294616126,0.15069691189377593
2024-01-27,187123.83244954553,186570.77313075433,187633.5377904157,184406.14617420256,60.536155021632325,31798.33241333719,-304.2137044004742,-27112.333630759607,-1724.6349578557533,Retail,187358.0,172.0,2025-06-26 09:06:45.900198,False,1062.764659661363,234.16755045446916,234.16755045446916,0.12498401480292765
2024-01-28,187193.35116527768,186670.3592759045,187702.54329514358,184497.16568460627,5.052164765221449,28726.664950346276,-525.4006183020763,-22275.225438204587,-3234.9055779334067,Retail,187401.0,129.0,2025-06-26 09:06:45.900198,False,1032.1840192390664,207.64883472232032,207.64883472232032,0.11080454998763097
2024-01-29,187138.15975483984,186608.52313056766,187663.85417030504,184588.18519501,-169.03815508947977,25753.058446626233,-706.4114531980348,-17479.638840309413,-4847.995438199454,Retail,187306.0,100.0,2025-06-26 09:06:45.900198,False,1055.3310397373862,167.8402451601578,167.8402451601578,0.08960751132380051
2024-01-30,187307.40924396718,186773.4391161593,187864.70734414906,184653.79024679822,-103.59239752991718,22902.593656526537,-830.2313269469903,-12770.607896628639,-6544.543038252026,Retail,187420.0,206.0,2025-06-26 09:06:45.900198,False,1091.2682279897563,112.59075603281963,112.59075603281963,0.060074034805687564
2024-01-31,187640.68741306497,187116.0239149845,188208.43829137762,184719.39529858646,86.28512728385559,20194.840521335285,-873.153894890107,-8184.400143416214,-8302.27949583431,Retail,187661.0,289.0,2025-06-26 09:06:45.900198,False,1092.4143763931352,20.312586935033323,20.312586935033323,0.010824085417339417
2024-02-01,187772.6447354339,187236.3646656883,188324.33716742677,184785.00035037467,73.01513640970555,17643.372658301872,-882.322983433691,-3750.3005460423997,-10096.119880176253,Retail,187781.0,177.0,2025-06-26 09:06:45.900198,False,1087.9725017384626,8.355264566111146,8.355264566111146,0.004449472825318401
2024-02-02,187849.53218224234,187346.49612283992,188404.46762773258,184850.60540216288,47.74196913901142,15255.413581493478,-912.8938868507911,506.98318103503914,-11898.318064737283,Retail,187839.0,167.0,2025-06-26 09:06:45.900198,False,1057.9715048926591,-10.53218224234297,10.53218224234297,-0.005607026358925979
2024-02-03,187946.58333245927,187435.18587710685,188462.18226156887,184916.21045395112,60.53615502162279,13031.624826332583,-947.9325038675181,4564.831210001104,-13678.68680897964,Retail,187925.0,189.0,2025-06-26 09:06:45.900198,False,1026.9963844620215,-21.583332459267695,21.583332459267695,-0.011485077801925073
2024-02-04,187991.8211311062,187482.26109561164,188514.262625175,184981.81550573933,5.052164765766501,10966.043301358526,-956.883261635225,8400.676842654691,-15404.883421776876,Retail,187941.0,153.0,2025-06-26 09:06:45.900198,False,1032.0015295633639,-50.82113110620412,50.82113110620412,-0.027041002818014227
2024-02-05,187913.4889321045,187380.4700308129,188445.62824659894,185047.42055752757,-169.03815508960912,9046.17216067665,-959.1775155747016,11990.871825227718,-17042.759940663127,Retail,187869.0,89.0,2025-06-26 09:06:45.900198,False,1065.1582157860394,-44.48893210449023,44.48893210449023,-0.023680826589000968
2024-02-06,188021.4618857428,187504.19172046366,188594.9932686059,185113.02560931578,-103.59239752980282,7253.2263308908105,-965.5403673414178,15310.725129580422,-18556.775311556972,Retail,188104.0,174.0,2025-06-26 09:06:45.900198,False,1090.801548142248,82.53811425718595,82.53811425718595,0.043878978786833854
2024-02-07,188364.38384000745,187855.42802959913,188895.5815079419,185178.630661104,86.28512728395754,5562.5306061940855,-935.504390096389,18335.766825964558,-19910.465600458745,Retail,188364.0,206.0,2025-06-26 09:06:45.900198,False,1040.1534783427778,-0.38384000744554214,0.38384000744554214,-0.00020377567233948216
2024-02-08,188462.8126544731,187939.74333446048,189028.67379162015,185244.23571289223,73.01513640969151,3944.0650036712245,-843.5350380455923,21044.05505756314,-21066.966843617585,Retail,188414.0,169.0,2025-06-26 09:06:45.900198,False,1088.930457159673,-48.81265447309124,48.81265447309124,-0.02590712711002964
2024-02-09,188565.72526901483,188033.1324598499,189098.8625360537,185309.84076468044,47.74196913898761,2363.1489146526383,-710.9359490840209,23419.138827278683,-21989.583775443894,Retail,188479.0,186.0,2025-06-26 09:06:45.900198,False,1065.7300762037921,-86.7252690148307,86.7252690148307,-0.04601322641505457
2024-02-10,188664.05848362696,188125.66157688506,189171.839681394,185375.44581646865,60.53615502161327,781.2525602559366,-545.6811222192599,25453.14799362211,-22642.396394466097,Retail,188411.0,158.0,2025-06-26 09:06:45.900198,False,1046.1781045089301,-253.05848362695542,253.05848362695542,-0.1343119476182152
2024-02-11,188432.38827851487,187906.29189625467,188974.96655118212,185441.0508682569,5.052164765627287,-843.0785790823625,-329.1706712086995,27149.429661236434,-22990.89516545302,Retail,188376.0,136.0,2025-06-26 09:06:45.900198,False,1068.674654927454,-56.3882785148744,56.3882785148744,-0.029933897372740898
2024-02-12,188237.99102279986,187708.21739539033,188774.43644164436,185506.65592004513,-169.0381550895612,-2553.203280168391,-67.98610552340115,28524.197279478507,-23002.63463594241,Retail,188199.0,83.0,2025-06-26 09:06:45.900198,False,1066.2190462540311,-38.99102279986255,38.99102279986255,-0.02071797554708715
2024-02-13,188331.38117360594,187829.90961893153,188862.29680692038,185651.4731243352,-103.59239752968847,-4393.28724810875,217.88333687108744,29606.79875269813,-22647.894394660034,Retail,188237.0,198.0,2025-06-26 09:06:45.900198,False,1032.3871879888466,-94.38117360594333,94.38117360594333,-0.05013954408853909
2024-02-14,188551.56616232105,188026.71982285622,189075.90000142198,185796.29032862527,86.28512728397891,-6407.15008757977,538.0559308932909,30438.420500033957,-21900.335636935662,Retail,188376.0,239.0,2025-06-26 09:06:45.900198,False,1049.180178565759,-175.56616232104716,175.56616232104716,-0.09319985684006835
2024-02-15,188593.5010945553,188056.38672006602,189112.39809659528,185941.1075329153,73.01513640962615,-8637.079266031831,884.8074953581837,31069.291343774643,-20737.641147870618,Retail,188337.0,194.0,2025-06-26 09:06:45.900198,False,1056.0113765292626,-256.50109455530765,256.50109455530765,-0.13619261990756337
2024-02-16,188608.84699339975,188093.9401000163,189130.64342250326,186085.92473720538,47.74196913898434,-11122.634878794468,1185.2488654201763,31554.692582059673,-19142.126281629997,Retail,188436.0,213.0,2025-06-26 09:06:45.900198,False,1036.703322486952,-172.84699339975487,172.84699339975487,-0.09172716115803502
2024-02-17,188619.61375016824,188117.21423428514,189175.61575917882,186230.74194149545,60.53615502163366,-13899.469691278007,1378.8356584990472,31950.278201887664,-17101.30851545756,Retail,188495.0,244.0,2025-06-26 09:06:45.900198,False,1058.4015248936776,-124.61375016823877,124.61375016823877,-0.06610984385168772
2024-02-18,188565.40720198085,188039.5629453163,189112.39544381903,186375.55914578552,5.052164765488051,-16998.18912686593,1484.0797864766714,32307.328627480154,-14608.423395661053,Retail,188472.0,304.0,2025-06-26 09:06:45.900198,False,1072.8324985027139,-93.40720198085182,93.40720198085182,-0.04956025403288118
2024-02-19,188432.9064414545,187898.53926853003,188985.23443715312,186520.3763500756,-169.03815508969055,-20443.275581931193,1519.1368715400888,32668.582128465983,-11662.875171606267,Retail,188471.0,89.0,2025-06-26 09:06:45.900198,False,1086.6951686230896,38.0935585454863,38.0935585454863,0.020211893896401198
2024-02-20,188546.7218626864,187991.95805905372,189070.95829617413,186665.19355436566,-103.59239753032168,-24252.100681206524,1442.6267930530234,33065.20572381961,-8270.611129815055,Retail,188350.0,29.0,2025-06-26 09:06:45.900198,False,1079.0002371204027,-196.72186268639052,196.72186268639052,-0.104444843475652
2024-02-21,188780.23841619823,188254.01478290945,189308.57245259642,186810.01075865573,86.28512728400027,-28434.047847720783,1247.1051176585015,33515.29484542468,-4444.409585103876,Retail,188677.0,150.0,2025-06-26 09:06:45.900198,False,1054.5576696869684,-103.23841619823361,103.23841619823361,-0.054717011717503254
2024-02-22,188868.2023770198,188322.83876281188,189422.63415044223,186954.8279629458,73.01513640961211,-32989.7658691133,1010.1418870847045,34024.05590795537,-204.07264826240043,Retail,188798.0,170.0,2025-06-26 09:06:45.900198,False,1099.795387630351,-70.20237701979931,70.20237701979931,-0.037183856301337574
2024-02-23,189023.06352803702,188503.41635659698,189532.53344395754,187099.64516723587,47.741969139004766,-37910.572024482615,777.1982074003539,34585.56646078052,4423.4837479639,Retail,188983.0,138.0,2025-06-26 09:06:45.900198,False,1029.1170873605588,-40.06352803701884,40.06352803701884,-0.02119954071901644
2024-02-24,189217.17556035914,188687.14735035127,189748.23824570258,187244.4623715259,60.53615502165405,-43178.02082767517,500.1832136988356,35185.76610784348,9404.248539944425,Retail,189209.0,127.0,2025-06-26 09:06:45.900198,False,1061.0908953513135,-8.175560359144583,8.175560359144583,-0.004320915156860711
2024-02-25,189293.35060141303,188787.37176409533,189823.1088031271,187389.27957581598,5.052164766033125,-48763.65158874605,159.275894942803,35806.14733485322,14697.24721978102,Retail,189379.0,117.0,2025-06-26 09:06:45.900198,False,1035.737039031781,85.64939858697471,85.64939858697471,0.045226449916292044
2024-02-26,189250.04997127588,188705.1027527217,189793.17460316978,187534.09678010605,-169.03815508973125,-54628.92484440407,-168.3915917262556,36427.518811671565,20254.788970718324,Retail,189391.0,50.0,2025-06-26 09:06:45.900198,False,1088.0718504480901,140.95002872412442,140.95002872412442,0.07442277020773132
2024-02-27,189412.98345868514,188896.6085569461,189928.08759701773,187607.26290968023,-103.59239753011342,-60725.35431692103,-421.38276510090674,37033.22024491531,26022.829783641642,Retail,189549.0,213.0,2025-06-26 09:06:45.900198,False,1031.4790400716302,136.0165413148643,136.0165413148643,0.07175798411749168
2024-02-28,189704.0639036888,189191.6784735321,190236.34918723037,187680.42903925444,86.28512728372236,-66994.83749239442,-620.5388823204214,37611.27600965969,31941.450102205792,Retail,189960.0,177.0,2025-06-26 09:06:45.900198,False,1044.6707136982586,255.93609631119762,255.93609631119762,0.1347315731265517
2024-02-29,189778.8376235875,189236.02155819154,190304.35831105267,187753.59516882864,73.01513640954677,-73370.18422567283,-778.198335834425,38155.16634832886,37945.44353152769,Retail,190105.0,160.0,2025-06-26 09:06:45.900198,False,1068.336752861127,326.16237641251064,326.16237641251064,0.17156959386260784
2024-03-01,189866.30478993745,189331.89427808157,190395.23846359356,187826.76129840282,47.741969139001476,-79775.83905153193,-860.5084262382493,38663.13786108647,43965.01113907933,Retail,190230.0,146.0,2025-06-26 09:06:45.900198,False,1063.344185511989,363.69521006254945,363.69521006254945,0.19118709460261232
2024-03-02,190017.2689708336,189468.61320271937,190530.09969560333,187899.92742797703,60.53615502159964,-86128.78917816527,-877.1881791427023,39136.228828838764,49926.55391630418,Retail,190297.0,126.0,2025-06-26 09:06:45.900198,False,1061.486492883967,279.73102916640346,279.73102916640346,0.1469970778133147
