ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,y,new_merchant,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-01,45428.18497340701,45318.05669248868,45536.06423607835,45340.695955,7.232320159606495,5445.302696274217,-413.4074583168396,-230.13888592638062,-4721.499653783591,FNB,45458.0,33.0,2025-06-26 09:06:49.591410,False,218.00754358967242,29.815026592987124,29.815026592987124,0.06558807381096203
2024-01-02,45482.12939838438,45373.64625492396,45589.14484479585,45376.95709926937,-1.6149511663563154,5922.5353091396155,-481.8140181039308,-1039.0108210381873,-4294.923219716131,FNB,45508.0,93.0,2025-06-26 09:06:49.591410,False,215.49858987188782,25.870601615621126,25.870601615621126,0.05684846975393585
2024-01-03,45540.16870974236,45432.99551555636,45647.547543892804,45413.21824353875,1.7625559543431168,6405.323340501717,-547.5627917403608,-1874.9426229598073,-3857.630015552286,FNB,45577.0,72.0,2025-06-26 09:06:49.591410,False,214.5520283364458,36.83129025764356,36.83129025764356,0.0808111333735076
2024-01-04,45589.182568822725,45485.29484662847,45699.63969292286,45449.47938780812,-1.9428552406888546,6888.562007728864,-599.4944797348396,-2733.5846051137282,-3413.836886624998,FNB,45595.0,65.0,2025-06-26 09:06:49.591410,False,214.3448462943852,5.817431177274557,5.817431177274557,0.01275892351633854
2024-01-05,45639.52159578059,45528.1679641993,45746.01355573229,45485.74053207749,-10.73381085717456,7366.563823162438,-623.9202137719691,-3610.5911648992596,-2967.537569930937,FNB,45663.0,69.0,2025-06-26 09:06:49.591410,False,217.84559153298324,23.47840421940782,23.47840421940782,0.051416692331664196
2024-01-06,45706.04559111937,45596.732189991184,45808.67188712191,45522.00167634686,-6.1101846372402315,7833.205629876658,-619.4199821246974,-4501.129453051686,-2522.502095290518,FNB,45721.0,72.0,2025-06-26 09:06:49.591410,False,211.93969713072875,14.954408880628762,14.954408880628762,0.03270796544395084
2024-01-07,45781.49247247809,45676.48551377899,45894.367260896404,45558.26282061624,11.406925787520548,8282.086400530114,-588.6891662032165,-5399.2929093691055,-2082.2815988834673,FNB,45749.0,57.0,2025-06-26 09:06:49.591410,False,217.88174711741158,-32.49247247808671,32.49247247808671,-0.0710233501892647
2024-01-08,45832.51864598878,45718.424846074995,45939.052750355564,45594.52396488561,7.232320159646016,8706.691935425164,-528.1773637570296,-6297.534756757698,-1650.2174539669147,FNB,45771.0,26.0,2025-06-26 09:06:49.591410,False,220.62790428056906,-61.51864598877728,61.51864598877728,-0.13440529153563888
2024-01-09,45880.41894112095,45771.479551097786,45983.98732890877,45630.78510915498,-1.6149511663601026,9100.562461797066,-433.61996670168696,-7186.240163051349,-1229.4535489116986,FNB,45817.0,101.0,2025-06-26 09:06:49.591410,False,212.5077778109844,-63.418941120951786,63.418941120951786,-0.1384179259247698
2024-01-10,45941.947807394805,45831.909824258015,46050.57508896954,45667.046253424356,1.76255595435442,9457.459090075412,-307.8303506174945,-8053.5392396617435,-822.9505017800777,FNB,45917.0,72.0,2025-06-26 09:06:49.591410,False,218.6652647115261,-24.94780739480484,24.94780739480484,-0.05433239844677318
2024-01-11,45993.1340441883,45887.06674353838,46099.645521384875,45703.30739769373,-1.9428552406928061,9771.525125558786,-160.82621613593656,-8885.428813659375,-433.5005940282109,FNB,45957.0,72.0,2025-06-26 09:06:49.591410,False,212.57877784649463,-36.13404418830032,36.13404418830032,-0.07862576797506435
2024-01-12,46027.45139372743,45916.61989611522,46135.27575981413,45739.5685419631,-10.733810857179561,10037.43836421743,-8.855055568967964,-9666.224412839025,-63.7422331879258,FNB,46025.0,69.0,2025-06-26 09:06:49.591410,False,218.6558636989139,-2.451393727431423,2.451393727431423,-0.005326222112833076
2024-01-13,46055.88487231128,45949.32967391458,46160.872884444216,45775.82968623247,-6.110184637295358,10250.5507163613,131.10010729581552,-10379.312638113179,283.82718517216466,FNB,46094.0,84.0,2025-06-26 09:06:49.591410,False,211.54321052963496,38.11512768871762,38.11512768871762,0.08268999802299133
2024-01-14,46083.917695718745,45970.08962919461,46193.47042180018,45812.090830501846,11.40692578753047,10407.01179696944,254.69347749532218,-11008.12638938535,606.8410543499517,FNB,46098.0,53.0,2025-06-26 09:06:49.591410,False,223.38079260556697,14.082304281255347,14.082304281255347,0.030548623110016368
2024-01-15,46096.15508610816,45986.80631229218,46211.147725250565,45848.35197477122,7.232320159639116,10503.873490435208,370.86944788532986,-11537.22903722562,903.056890082389,FNB,46089.0,45.0,2025-06-26 09:06:49.591410,False,224.34141295838344,-7.155086108163232,7.155086108163232,-0.01552449848806273
2024-01-16,46126.48879929201,46023.02669681901,46224.82885503676,45891.58759769391,-1.6149511663638896,10539.172932030906,480.36376280850374,-11953.374534471028,1170.3539923960848,FNB,46091.0,96.0,2025-06-26 09:06:49.591410,False,201.80215821774618,-35.48879929201212,35.48879929201212,-0.07699724304530628
2024-01-17,46173.769415807015,46062.656288454775,46286.33272125591,45934.82322061661,1.7625559543525258,10511.991839682145,564.8675244615216,-12246.411764234363,1406.736039326754,FNB,46127.0,86.0,2025-06-26 09:06:49.591410,False,223.67643280113407,-46.76941580701532,46.76941580701532,-0.10139271100876995
2024-01-18,46207.216035213736,46097.895344631914,46314.29828945324,45978.0588435393,-1.942855240701253,10422.490666946149,608.1932680435928,-12409.922918101678,1610.3390300270748,FNB,46213.0,120.0,2025-06-26 09:06:49.591410,False,216.40294482132595,5.783964786263823,5.783964786263823,0.012515882514149316
2024-01-19,46235.66933444179,46128.53837095106,46347.08603794169,46021.29446646199,-10.733810857184563,10271.916619956193,615.2711586444485,-12441.523895390705,1779.444795627039,FNB,46249.0,157.0,2025-06-26 09:06:49.591410,False,218.54766699063475,13.330665558212786,13.330665558212786,0.028823683881192642
2024-01-20,46289.81683819939,46183.25884934304,46403.60023138951,46064.53008938469,-6.11018463728263,10062.585175541974,599.1150819965358,-12342.803412597012,1912.50008851049,FNB,46297.0,53.0,2025-06-26 09:06:49.591410,False,220.34138204647024,7.183161800610833,7.183161800610833,0.015515393655335838
2024-01-21,46369.548913248604,46260.7470285466,46478.07025439012,46107.76571230739,11.406925787530943,9797.835341871927,563.3287257143284,-12118.928842233336,2008.1410498007672,FNB,46356.0,53.0,2025-06-26 09:06:49.591410,False,217.3232258435237,-13.54891324860364,13.54891324860364,-0.029227960239459054
2024-01-22,46436.27331978804,46322.57541665905,46538.83476932341,46151.001335230074,7.232320159632219,9481.959503985297,508.85004339247905,-11777.992528847553,2065.2226458681107,FNB,46454.0,14.0,2025-06-26 09:06:49.591410,False,216.25935266436136,17.726680211962957,17.726680211962957,0.03815964225247117
2024-01-23,46508.27865424062,46396.008141872306,46609.253696496184,46194.23695815277,-1.6149511663602836,9120.10928171969,442.90012425474345,-11330.205221437864,2082.8524627176344,FNB,46545.0,71.0,2025-06-26 09:06:49.591410,False,213.24555462387798,36.72134575938253,36.72134575938253,0.07889428673194226
