ds,yhat,yhat_lower,yhat_upper,trend,weekly,yearly,monthly,quarterly,semi_annual,software_product,active_merchant,y,forecast_date,is_forecast,confidence_width,residual,abs_error,pct_error
2024-01-11,221.1764644015518,122.67375706318722,321.5405916056757,143.70434380333953,22.01205900006773,-136.87735867292182,74.43574619653099,223.82407081964269,-105.92239674510719,Retail,186070.0,169.0,2025-06-23 10:43:37.123153,False,198.86683454248845,-52.17646440155181,52.17646440155181,-30.873647574882728
2024-01-12,215.48674966289164,108.8896574797756,306.3321672001803,143.98276918367347,18.565650377514636,-146.65851925441743,64.755586875095,260.9405371769208,-126.09927469589483,Retail,186070.0,230.0,2025-06-23 10:43:37.123153,False,197.44250972040473,14.51325033710836,14.51325033710836,6.310108842221027
2024-01-13,213.10789446398618,116.42833059113441,308.21728784417553,144.2611945640074,12.962801141511925,-147.58071819108392,49.92231720082544,301.5418221005384,-147.9995223518132,Retail,186104.0,212.0,2025-06-23 10:43:37.123153,False,191.78895725304113,-1.1078944639861845,1.1078944639861845,-0.52259172829537
2024-01-14,180.9244778371468,84.02595269139965,280.7415405438514,144.53961994434138,-32.80401190559203,-139.92187060594821,36.573457690345116,343.80237248103253,-171.26508976703192,Retail,186111.0,172.0,2025-06-23 10:43:37.123153,False,196.71558785245173,-8.92447783714681,8.92447783714681,-5.188649905317913
2024-01-15,120.04136477465207,24.45257646475294,222.41846488808332,144.81804532467532,-99.34608471031174,-124.17788067561098,9.77152908174904,384.43494615342433,-195.4591903992739,Retail,185978.0,108.0,2025-06-23 10:43:37.123153,False,197.96588842333037,-12.041364774652067,12.041364774652067,-11.149411828381544
2024-01-16,265.18823898389587,163.23734422125884,358.26789404748763,145.09647070920082,47.17571783610156,-101.05339822994922,-25.15782305998349,419.19962274367623,-220.07235101515,Retail,186114.0,208.0,2025-06-23 10:43:37.123153,False,195.0305498262288,-57.18823898389587,57.18823898389587,-27.494345665334553
2024-01-17,273.39220875351305,170.81603142674425,369.2266051177962,145.3748960937263,31.433868260471847,-71.44807379450836,-31.04127260303567,443.60321809392923,-244.53042729707025,Retail,186328.0,258.0,2025-06-23 10:43:37.123153,False,198.41057369105198,-15.392208753513046,15.392208753513046,-5.965972385082576
2024-01-18,306.7617801773981,211.85070397305432,410.0377995956753,145.65332147825177,22.012059000005504,-36.43856843926992,-9.932979277701584,453.6724076742694,-268.2044602581569,Retail,186410.0,292.0,2025-06-23 10:43:37.123153,False,198.187095622621,-14.761780177398123,14.761780177398123,-5.055404170341823
2024-01-19,301.1729116326126,207.34156943221188,399.5228004982391,145.93174686277726,18.565650377384884,2.7433398476230764,-22.31577170697186,446.67015340837366,-290.4222071565744,Retail,186470.0,304.0,2025-06-23 10:43:37.123153,False,192.18123106602724,2.8270883673873755,2.8270883673873755,0.9299632787458472
2024-01-20,229.0088493349895,129.5154736969335,333.03604884457343,146.21017224730272,12.962801141438021,44.73613285101122,-86.05240587982153,421.6332910385239,-310.4811420634648,Retail,186565.0,136.0,2025-06-23 10:43:37.123153,False,203.52057514763993,-93.00884933498949,93.00884933498949,-68.38885980513933
2024-01-21,125.34981526542346,30.260071061972972,226.46901035947573,146.4885976318282,-32.80401190549335,88.07692096005918,-128.38708344761883,379.6380784272095,-327.6626864005613,Retail,186493.0,83.0,2025-06-23 10:43:37.123153,False,196.20893929750275,-42.34981526542346,42.34981526542346,-51.023873813763196
2024-01-22,66.47988758751613,0.0,167.15624060281246,146.76702301635368,-99.34608471028204,131.23225222991968,-94.67124312669803,323.7453395262409,-341.247399348018,Retail,186500.0,67.0,2025-06-23 10:43:37.123153,False,167.15624060281246,0.5201124124838685,0.5201124124838685,0.776287182811744
2024-01-23,244.80173771183487,145.8251265796669,338.2398180698334,147.04544840087917,47.175717836199965,172.6307594423803,-30.149431509267043,258.63007622406775,-350.53083268242534,Retail,186699.0,215.0,2025-06-23 10:43:37.123153,False,192.41469149016652,-29.801737711834875,29.801737711834875,-13.861273354341803
2024-01-24,228.4423339920136,125.98115466955656,328.5921308777862,147.32387378540466,31.433868260591233,210.69700425352005,3.8741929573904623,189.9531296428127,-354.8397349077055,Retail,187150.0,139.0,2025-06-23 10:43:37.123153,False,202.61097620822963,-89.4423339920136,89.4423339920136,-64.34700287195223
2024-01-25,202.18993542632887,102.650760412606,301.19446318742706,147.60229916993012,22.012059000122132,243.8858511822817,18.662221444108738,123.57578054904097,-353.54827591915483,Retail,187237.0,182.0,2025-06-23 10:43:37.123153,False,198.54370277482104,-20.189935426328873,20.189935426328873,-11.093371113367514
2024-01-26,200.58154616806718,100.93656438669593,293.167215024048,147.8807245544556,18.565650377455857,270.7166906907507,44.76767114270432,64.74476564556315,-346.0939562428624,Retail,187301.0,165.0,2025-06-23 10:43:37.123153,False,192.23065063735208,-35.58154616806718,35.58154616806718,-21.564573435192226
2024-01-27,200.7183117528885,97.12624929042204,299.0024684524371,148.1591499389811,12.962801141364107,289.80683018483415,64.40187132391236,17.38052348953473,-331.992864325738,Retail,187358.0,172.0,2025-06-23 10:43:37.123153,False,201.87621916201505,-28.718311752888496,28.718311752888496,-16.696692879586337
